,student_id,credits,study_time,program_grade,subject
83,14552,0,126,93,体育
84,14553,3,149,90,语文
85,14553,3,141,89,数学
86,14553,2,167,59,英语
87,14553,2,82,81,物理
88,14553,2,72,81,化学
89,14553,2,61,82,生物
90,14553,0,144,80,政治
91,14553,2,175,59,历史
92,14553,2,214,76,地理
93,14553,0,76,65,音乐
94,14553,0,205,85,美术
95,14553,0,143,71,体育
96,14554,3,209,53,语文
97,14554,3,84,62,数学
98,14554,2,194,87,英语
99,14554,2,68,80,物理
100,14554,2,164,64,化学
101,14554,2,74,64,生物
102,14554,0,184,94,政治
103,14554,2,80,71,历史
104,14554,2,162,51,地理
105,14554,0,180,92,音乐
106,14554,0,156,65,美术
107,14554,0,97,70,体育
108,14555,3,75,85,语文
109,14555,3,188,85,数学
110,14555,2,218,96,英语
111,14555,2,237,81,物理
112,14555,2,111,99,化学
113,14555,2,157,53,生物
114,14555,0,114,62,政治
115,14555,2,177,76,历史
116,14555,2,132,87,地理
117,14555,0,121,57,音乐
118,14555,0,209,89,美术
119,14555,0,227,57,体育
120,14556,3,208,75,语文
121,14556,3,76,92,数学
122,14556,2,229,65,英语
123,14556,2,107,69,物理
124,14556,2,227,63,化学
125,14556,2,65,92,生物
126,14556,0,121,78,政治
127,14556,2,221,52,历史
128,14556,2,218,85,地理
129,14556,0,116,62,音乐
130,14556,0,179,64,美术
131,14556,0,120,53,体育
132,14557,3,192,97,语文
133,14557,3,213,54,数学
134,14557,2,95,77,英语
135,14557,2,239,95,物理
136,14557,2,155,62,化学
137,14557,2,90,53,生物
138,14557,0,126,60,政治
139,14557,2,193,66,历史
140,14557,2,66,77,地理
141,14557,0,230,65,音乐
142,14557,0,165,87,美术
143,14557,0,77,87,体育
144,14558,3,203,81,语文
145,14558,3,86,55,数学
146,14558,2,143,54,英语
147,14558,2,186,97,物理
148,14558,2,166,99,化学
149,14558,2,198,74,生物
150,14558,0,120,84,政治
151,14558,2,184,91,历史
152,14558,2,109,78,地理
153,14558,0,205,67,音乐
154,14558,0,143,98,美术
155,14558,0,87,99,体育
156,14559,3,66,83,语文
157,14559,3,107,74,数学
158,14559,2,221,79,英语
159,14559,2,62,75,物理
160,14559,2,209,75,化学
161,14559,2,134,66,生物
162,14559,0,165,98,政治
163,14559,2,208,52,历史
164,14559,2,108,77,地理
165,14559,0,112,61,音乐
166,14559,0,152,79,美术
167,14559,0,147,99,体育
168,14560,3,130,65,语文
169,14560,3,181,84,数学
170,14560,2,193,94,英语
171,14560,2,236,66,物理
172,14560,2,210,83,化学
173,14560,2,230,72,生物
174,14560,0,130,97,政治
175,14560,2,153,86,历史
176,14560,2,104,56,地理
177,14560,0,72,58,音乐
178,14560,0,108,88,美术
179,14560,0,225,53,体育
180,14561,3,102,74,语文
181,14561,3,146,57,数学
182,14561,2,170,52,英语
183,14561,2,110,97,物理
184,14561,2,69,51,化学
185,14561,2,129,87,生物
186,14561,0,196,81,政治
187,14561,2,79,69,历史
188,14561,2,132,78,地理
189,14561,0,234,68,音乐
190,14561,0,153,51,美术
191,14561,0,153,77,体育
192,14562,3,86,63,语文
193,14562,3,103,59,数学
194,14562,2,166,99,英语
195,14562,2,105,99,物理
196,14562,2,234,63,化学
197,14562,2,93,75,生物
198,14562,0,234,52,政治
199,14562,2,105,60,历史
200,14562,2,166,91,地理
201,14562,0,211,87,音乐
202,14562,0,154,77,美术
203,14562,0,80,95,体育
204,14563,3,190,54,语文
205,14563,3,125,66,数学
206,14563,2,191,72,英语
207,14563,2,234,89,物理
208,14563,2,130,61,化学
209,14563,2,89,55,生物
210,14563,0,238,99,政治
211,14563,2,137,59,历史
212,14563,2,118,72,地理
213,14563,0,107,65,音乐
214,14563,0,101,92,美术
215,14563,0,182,85,体育
216,14637,3,199,59,语文
217,14637,3,152,77,数学
218,14637,2,134,89,英语
219,14637,2,194,56,物理
220,14637,2,89,79,化学
221,14637,2,69,64,生物
222,14637,0,97,77,政治
223,14637,2,88,59,历史
224,14637,2,186,83,地理
225,14637,0,179,58,音乐
226,14637,0,219,84,美术
227,14637,0,140,80,体育
228,14564,3,212,86,语文
229,14564,3,76,51,数学
230,14564,2,125,61,英语
231,14564,2,182,98,物理
232,14564,2,184,59,化学
233,14564,2,215,87,生物
234,14564,0,154,88,政治
235,14564,2,121,95,历史
236,14564,2,215,90,地理
237,14564,0,102,88,音乐
238,14564,0,238,69,美术
239,14564,0,214,71,体育
240,14565,3,178,97,语文
241,14565,3,91,96,数学
242,14565,2,189,89,英语
243,14565,2,197,72,物理
244,14565,2,117,67,化学
245,14565,2,138,76,生物
246,14565,0,105,97,政治
247,14565,2,144,76,历史
248,14565,2,76,78,地理
249,14565,0,204,73,音乐
250,14565,0,188,70,美术
251,14565,0,72,63,体育
252,14566,3,129,61,语文
253,14566,3,212,50,数学
254,14566,2,145,60,英语
255,14566,2,72,63,物理
256,14566,2,129,72,化学
257,14566,2,159,64,生物
258,14566,0,201,83,政治
259,14566,2,170,64,历史
260,14566,2,161,63,地理
261,14566,0,235,93,音乐
262,14566,0,195,79,美术
263,14566,0,100,86,体育
264,14567,3,154,71,语文
265,14567,3,217,88,数学
266,14567,2,205,58,英语
267,14567,2,83,89,物理
268,14567,2,189,94,化学
269,14567,2,101,89,生物
270,14567,0,201,54,政治
271,14567,2,239,81,历史
272,14567,2,215,61,地理
273,14567,0,186,87,音乐
274,14567,0,146,82,美术
275,14567,0,156,73,体育
276,14568,3,64,63,语文
277,14568,3,86,82,数学
278,14568,2,144,82,英语
279,14568,2,207,92,物理
280,14568,2,63,51,化学
281,14568,2,73,79,生物
282,14568,0,61,92,政治
283,14568,2,227,75,历史
284,14568,2,104,54,地理
285,14568,0,229,83,音乐
286,14568,0,168,93,美术
287,14568,0,149,55,体育
288,14569,3,232,83,语文
289,14569,3,219,77,数学
290,14569,2,118,59,英语
291,14569,2,136,80,物理
292,14569,2,233,68,化学
293,14569,2,77,61,生物
294,14569,0,166,74,政治
295,14569,2,74,83,历史
296,14569,2,119,54,地理
297,14569,0,194,73,音乐
298,14569,0,105,58,美术
299,14569,0,168,77,体育
300,14911,3,62,97,语文
301,14911,3,166,83,数学
302,14911,2,95,87,英语
303,14911,2,118,92,物理
304,14911,2,198,58,化学
305,14911,2,125,59,生物
306,14911,0,223,63,政治
307,14911,2,122,66,历史
308,14911,2,185,54,地理
309,14911,0,62,58,音乐
310,14911,0,192,60,美术
311,14911,0,184,64,体育
312,14570,3,72,87,语文
313,14570,3,145,82,数学
314,14570,2,188,56,英语
315,14570,2,125,92,物理
316,14570,2,182,58,化学
317,14570,2,80,80,生物
318,14570,0,220,94,政治
319,14570,2,162,61,历史
320,14570,2,170,51,地理
321,14570,0,108,77,音乐
322,14570,0,174,87,美术
323,14570,0,165,94,体育
324,14571,3,122,55,语文
325,14571,3,133,97,数学
326,14571,2,112,70,英语
327,14571,2,219,99,物理
328,14571,2,72,70,化学
329,14571,2,91,83,生物
330,14571,0,219,58,政治
331,14571,2,224,86,历史
332,14571,2,218,50,地理
333,14571,0,115,53,音乐
334,14571,0,62,58,美术
335,14571,0,199,64,体育
336,14572,3,175,83,语文
337,14572,3,152,69,数学
338,14572,2,70,91,英语
339,14572,2,142,71,物理
340,14572,2,77,59,化学
341,14572,2,229,93,生物
342,14572,0,153,57,政治
343,14572,2,200,60,历史
344,14572,2,86,72,地理
345,14572,0,180,58,音乐
346,14572,0,60,63,美术
347,14572,0,184,81,体育
348,14573,3,129,71,语文
349,14573,3,88,51,数学
350,14573,2,132,85,英语
351,14573,2,238,66,物理
352,14573,2,207,74,化学
353,14573,2,233,51,生物
354,14573,0,143,63,政治
355,14573,2,132,62,历史
356,14573,2,212,82,地理
357,14573,0,60,76,音乐
358,14573,0,209,63,美术
359,14573,0,208,94,体育
360,14574,3,115,84,语文
361,14574,3,226,56,数学
362,14574,2,163,68,英语
363,14574,2,168,99,物理
364,14574,2,197,67,化学
365,14574,2,181,56,生物
366,14574,0,176,56,政治
367,14574,2,212,84,历史
368,14574,2,75,84,地理
369,14574,0,65,52,音乐
370,14574,0,233,59,美术
371,14574,0,191,91,体育
372,14575,3,145,61,语文
373,14575,3,113,97,数学
374,14575,2,232,77,英语
375,14575,2,64,94,物理
376,14575,2,140,95,化学
377,14575,2,173,74,生物
378,14575,0,163,88,政治
379,14575,2,148,95,历史
380,14575,2,71,56,地理
381,14575,0,139,84,音乐
382,14575,0,201,61,美术
383,14575,0,141,59,体育
384,14576,3,127,94,语文
385,14576,3,67,77,数学
386,14576,2,156,63,英语
387,14576,2,193,72,物理
388,14576,2,231,63,化学
389,14576,2,103,90,生物
390,14576,0,126,80,政治
391,14576,2,225,77,历史
392,14576,2,109,90,地理
393,14576,0,223,60,音乐
394,14576,0,115,98,美术
395,14576,0,110,97,体育
396,14577,3,121,63,语文
397,14577,3,206,85,数学
398,14577,2,77,68,英语
399,14577,2,126,94,物理
400,14577,2,67,71,化学
401,14577,2,195,63,生物
402,14577,0,186,64,政治
403,14577,2,92,56,历史
404,14577,2,236,64,地理
405,14577,0,193,74,音乐
406,14577,0,133,62,美术
407,14577,0,194,62,体育
408,14578,3,87,88,语文
409,14578,3,162,85,数学
410,14578,2,62,83,英语
411,14578,2,126,82,物理
412,14578,2,181,61,化学
413,14578,2,173,90,生物
414,14578,0,164,70,政治
415,14578,2,187,92,历史
416,14578,2,232,98,地理
417,14578,0,84,59,音乐
418,14578,0,208,96,美术
419,14578,0,201,96,体育
420,14579,3,77,88,语文
421,14579,3,125,88,数学
422,14579,2,170,56,英语
423,14579,2,89,81,物理
424,14579,2,182,77,化学
425,14579,2,105,95,生物
426,14579,0,173,58,政治
427,14579,2,84,75,历史
428,14579,2,63,74,地理
429,14579,0,179,78,音乐
430,14579,0,95,98,美术
431,14579,0,189,75,体育
432,14580,3,167,65,语文
433,14580,3,139,66,数学
434,14580,2,118,95,英语
435,14580,2,190,54,物理
436,14580,2,164,67,化学
437,14580,2,147,89,生物
438,14580,0,167,74,政治
439,14580,2,105,54,历史
440,14580,2,102,95,地理
441,14580,0,155,61,音乐
442,14580,0,93,76,美术
443,14580,0,129,87,体育
444,14582,3,227,84,语文
445,14582,3,236,63,数学
446,14582,2,112,92,英语
447,14582,2,219,84,物理
448,14582,2,150,68,化学
449,14582,2,230,58,生物
450,14582,0,219,92,政治
451,14582,2,181,77,历史
452,14582,2,98,71,地理
453,14582,0,86,98,音乐
454,14582,0,207,81,美术
455,14582,0,162,68,体育
456,14583,3,230,69,语文
457,14583,3,115,75,数学
458,14583,2,200,88,英语
459,14583,2,157,76,物理
460,14583,2,70,52,化学
461,14583,2,235,62,生物
462,14583,0,98,96,政治
463,14583,2,78,97,历史
464,14583,2,124,83,地理
465,14583,0,209,79,音乐
466,14583,0,82,90,美术
467,14583,0,219,79,体育
468,14584,3,127,77,语文
469,14584,3,201,98,数学
470,14584,2,220,66,英语
471,14584,2,108,72,物理
472,14584,2,222,86,化学
473,14584,2,137,92,生物
474,14584,0,228,77,政治
475,14584,2,100,86,历史
476,14584,2,180,55,地理
477,14584,0,216,75,音乐
478,14584,0,168,72,美术
479,14584,0,178,58,体育
480,14585,3,239,62,语文
481,14585,3,87,82,数学
482,14585,2,90,87,英语
483,14585,2,135,52,物理
484,14585,2,128,58,化学
485,14585,2,206,53,生物
486,14585,0,74,88,政治
487,14585,2,158,59,历史
488,14585,2,100,69,地理
489,14585,0,220,92,音乐
490,14585,0,219,85,美术
491,14585,0,81,99,体育
492,14586,3,162,58,语文
493,14586,3,101,80,数学
494,14586,2,86,67,英语
495,14586,2,171,60,物理
496,14586,2,123,95,化学
497,14586,2,63,93,生物
498,14586,0,62,65,政治
499,14586,2,91,70,历史
500,14586,2,209,74,地理
501,14586,0,122,60,音乐
502,14586,0,132,72,美术
503,14586,0,83,85,体育
504,14587,3,162,79,语文
505,14587,3,74,83,数学
506,14587,2,212,69,英语
507,14587,2,218,71,物理
508,14587,2,128,72,化学
509,14587,2,186,92,生物
510,14587,0,165,77,政治
511,14587,2,115,84,历史
512,14587,2,122,70,地理
513,14587,0,183,60,音乐
514,14587,0,191,98,美术
515,14587,0,114,81,体育
516,14588,3,168,70,语文
517,14588,3,191,95,数学
518,14588,2,219,99,英语
519,14588,2,68,65,物理
520,14588,2,78,71,化学
521,14588,2,138,91,生物
522,14588,0,117,55,政治
523,14588,2,90,91,历史
524,14588,2,157,53,地理
525,14588,0,206,98,音乐
526,14588,0,164,91,美术
527,14588,0,209,61,体育
528,14589,3,206,63,语文
529,14589,3,86,61,数学
530,14589,2,99,76,英语
531,14589,2,60,82,物理
532,14589,2,185,91,化学
533,14589,2,218,57,生物
534,14589,0,204,92,政治
535,14589,2,159,74,历史
536,14589,2,233,70,地理
537,14589,0,94,68,音乐
538,14589,0,235,55,美术
539,14589,0,91,98,体育
540,14590,3,86,85,语文
541,14590,3,206,58,数学
542,14590,2,167,91,英语
543,14590,2,237,84,物理
544,14590,2,184,80,化学
545,14590,2,154,99,生物
546,14590,0,107,87,政治
547,14590,2,92,73,历史
548,14590,2,230,65,地理
549,14590,0,223,73,音乐
550,14590,0,130,94,美术
551,14590,0,233,57,体育
552,14591,3,164,52,语文
553,14591,3,239,54,数学
554,14591,2,125,84,英语
555,14591,2,222,67,物理
556,14591,2,171,97,化学
557,14591,2,220,69,生物
558,14591,0,198,70,政治
559,14591,2,70,71,历史
560,14591,2,239,97,地理
561,14591,0,103,95,音乐
562,14591,0,103,55,美术
563,14591,0,146,86,体育
564,14592,3,108,95,语文
565,14592,3,210,71,数学
566,14592,2,93,59,英语
567,14592,2,153,59,物理
568,14592,2,145,86,化学
569,14592,2,130,96,生物
570,14592,0,70,59,政治
571,14592,2,82,81,历史
572,14592,2,192,98,地理
573,14592,0,83,65,音乐
574,14592,0,77,81,美术
575,14592,0,77,78,体育
576,14593,3,154,62,语文
577,14593,3,205,95,数学
578,14593,2,108,54,英语
579,14593,2,91,69,物理
580,14593,2,82,77,化学
581,14593,2,156,74,生物
582,14593,0,238,92,政治
583,14593,2,126,81,历史
584,14593,2,147,88,地理
585,14593,0,175,65,音乐
586,14593,0,129,90,美术
587,14593,0,175,88,体育
588,14594,3,237,50,语文
589,14594,3,192,83,数学
590,14594,2,188,85,英语
591,14594,2,230,61,物理
592,14594,2,123,67,化学
593,14594,2,61,80,生物
594,14594,0,65,79,政治
595,14594,2,218,52,历史
596,14594,2,172,78,地理
597,14594,0,211,77,音乐
598,14594,0,116,89,美术
599,14594,0,93,82,体育
600,14595,3,118,51,语文
601,14595,3,222,98,数学
602,14595,2,187,85,英语
603,14595,2,124,93,物理
604,14595,2,135,56,化学
605,14595,2,186,65,生物
606,14595,0,68,67,政治
607,14595,2,69,66,历史
608,14595,2,231,69,地理
609,14595,0,136,50,音乐
610,14595,0,185,69,美术
611,14595,0,164,53,体育
612,14596,3,152,52,语文
613,14596,3,228,70,数学
614,14596,2,213,75,英语
615,14596,2,89,62,物理
616,14596,2,88,87,化学
617,14596,2,237,99,生物
618,14596,0,172,86,政治
619,14596,2,208,72,历史
620,14596,2,66,96,地理
621,14596,0,140,92,音乐
622,14596,0,219,87,美术
623,14596,0,225,83,体育
624,14597,3,96,77,语文
625,14597,3,171,63,数学
626,14597,2,237,77,英语
627,14597,2,62,68,物理
628,14597,2,160,50,化学
629,14597,2,88,70,生物
630,14597,0,196,92,政治
631,14597,2,227,76,历史
632,14597,2,85,80,地理
633,14597,0,201,54,音乐
634,14597,0,131,81,美术
635,14597,0,175,80,体育
636,14598,3,129,97,语文
637,14598,3,61,69,数学
638,14598,2,109,98,英语
639,14598,2,179,58,物理
640,14598,2,219,52,化学
641,14598,2,157,67,生物
642,14598,0,110,96,政治
643,14598,2,105,95,历史
644,14598,2,107,65,地理
645,14598,0,93,95,音乐
646,14598,0,101,93,美术
647,14598,0,209,57,体育
648,14599,3,147,91,语文
649,14599,3,133,95,数学
650,14599,2,76,60,英语
651,14599,2,170,79,物理
652,14599,2,219,91,化学
653,14599,2,227,97,生物
654,14599,0,90,88,政治
655,14599,2,210,83,历史
656,14599,2,180,60,地理
657,14599,0,101,67,音乐
658,14599,0,135,51,美术
659,14599,0,146,86,体育
660,14600,3,106,97,语文
661,14600,3,137,75,数学
662,14600,2,129,62,英语
663,14600,2,185,98,物理
664,14600,2,89,67,化学
665,14600,2,99,68,生物
666,14600,0,196,73,政治
667,14600,2,237,78,历史
668,14600,2,189,53,地理
669,14600,0,175,64,音乐
670,14600,0,200,63,美术
671,14600,0,144,95,体育
672,14601,3,232,89,语文
673,14601,3,221,67,数学
674,14601,2,79,61,英语
675,14601,2,83,60,物理
676,14601,2,230,69,化学
677,14601,2,206,96,生物
678,14601,0,73,93,政治
679,14601,2,154,94,历史
680,14601,2,99,64,地理
681,14601,0,172,56,音乐
682,14601,0,168,99,美术
683,14601,0,163,67,体育
684,14602,3,195,68,语文
685,14602,3,234,70,数学
686,14602,2,92,55,英语
687,14602,2,73,82,物理
688,14602,2,139,51,化学
689,14602,2,212,95,生物
690,14602,0,141,70,政治
691,14602,2,77,99,历史
692,14602,2,105,51,地理
693,14602,0,175,51,音乐
694,14602,0,211,82,美术
695,14602,0,178,82,体育
696,14603,3,126,53,语文
697,14603,3,162,99,数学
698,14603,2,93,96,英语
699,14603,2,161,82,物理
700,14603,2,97,88,化学
701,14603,2,226,57,生物
702,14603,0,180,71,政治
703,14603,2,179,70,历史
704,14603,2,111,69,地理
705,14603,0,68,86,音乐
706,14603,0,123,68,美术
707,14603,0,215,98,体育
708,14604,3,143,91,语文
709,14604,3,216,58,数学
710,14604,2,175,95,英语
711,14604,2,163,96,物理
712,14604,2,151,91,化学
713,14604,2,195,85,生物
714,14604,0,74,53,政治
715,14604,2,154,75,历史
716,14604,2,65,56,地理
717,14604,0,142,67,音乐
718,14604,0,132,51,美术
719,14604,0,137,68,体育
720,14605,3,65,99,语文
721,14605,3,187,59,数学
722,14605,2,225,70,英语
723,14605,2,217,85,物理
724,14605,2,96,84,化学
725,14605,2,145,65,生物
726,14605,0,156,69,政治
727,14605,2,145,57,历史
728,14605,2,84,75,地理
729,14605,0,167,83,音乐
730,14605,0,81,56,美术
731,14605,0,172,53,体育
732,14606,3,142,89,语文
733,14606,3,122,76,数学
734,14606,2,109,54,英语
735,14606,2,129,59,物理
736,14606,2,132,90,化学
737,14606,2,196,69,生物
738,14606,0,79,99,政治
739,14606,2,79,77,历史
740,14606,2,116,97,地理
741,14606,0,187,52,音乐
742,14606,0,144,72,美术
743,14606,0,214,69,体育
744,14607,3,100,64,语文
745,14607,3,140,50,数学
746,14607,2,94,59,英语
747,14607,2,203,67,物理
748,14607,2,227,69,化学
749,14607,2,239,54,生物
750,14607,0,91,56,政治
751,14607,2,207,80,历史
752,14607,2,71,97,地理
753,14607,0,90,86,音乐
754,14607,0,173,73,美术
755,14607,0,109,54,体育
756,14608,3,157,65,语文
757,14608,3,68,68,数学
758,14608,2,198,78,英语
759,14608,2,152,68,物理
760,14608,2,228,85,化学
761,14608,2,149,82,生物
762,14608,0,160,85,政治
763,14608,2,210,86,历史
764,14608,2,107,74,地理
765,14608,0,125,68,音乐
766,14608,0,223,71,美术
767,14608,0,194,97,体育
768,14609,3,113,67,语文
769,14609,3,170,82,数学
770,14609,2,197,50,英语
771,14609,2,100,58,物理
772,14609,2,108,68,化学
773,14609,2,204,59,生物
774,14609,0,135,89,政治
775,14609,2,221,96,历史
776,14609,2,72,67,地理
777,14609,0,135,56,音乐
778,14609,0,191,74,美术
779,14609,0,79,59,体育
780,14610,3,226,76,语文
781,14610,3,110,52,数学
782,14610,2,115,63,英语
783,14610,2,194,60,物理
784,14610,2,101,62,化学
785,14610,2,209,60,生物
786,14610,0,188,81,政治
787,14610,2,229,86,历史
788,14610,2,93,86,地理
789,14610,0,65,67,音乐
790,14610,0,145,61,美术
791,14610,0,182,81,体育
792,14720,3,99,56,语文
793,14720,3,90,83,数学
794,14720,2,147,64,英语
795,14720,2,60,76,物理
796,14720,2,156,95,化学
797,14720,2,179,72,生物
798,14720,0,135,96,政治
799,14720,2,165,65,历史
800,14720,2,117,52,地理
801,14720,0,89,80,音乐
802,14720,0,83,68,美术
803,14720,0,175,67,体育
804,14611,3,186,58,语文
805,14611,3,199,80,数学
806,14611,2,201,58,英语
807,14611,2,133,74,物理
808,14611,2,205,92,化学
809,14611,2,149,63,生物
810,14611,0,74,79,政治
811,14611,2,65,58,历史
812,14611,2,188,91,地理
813,14611,0,189,58,音乐
814,14611,0,232,99,美术
815,14611,0,94,69,体育
816,14612,3,196,80,语文
817,14612,3,229,80,数学
818,14612,2,237,66,英语
819,14612,2,149,92,物理
820,14612,2,173,89,化学
821,14612,2,117,64,生物
822,14612,0,180,63,政治
823,14612,2,233,67,历史
824,14612,2,180,82,地理
825,14612,0,90,86,音乐
826,14612,0,232,75,美术
827,14612,0,168,74,体育
828,14613,3,180,54,语文
829,14613,3,166,95,数学
830,14613,2,67,78,英语
831,14613,2,191,97,物理
832,14613,2,108,86,化学
833,14613,2,177,93,生物
834,14613,0,131,55,政治
835,14613,2,207,88,历史
836,14613,2,66,63,地理
837,14613,0,129,60,音乐
838,14613,0,79,62,美术
839,14613,0,105,51,体育
840,14614,3,215,59,语文
841,14614,3,135,82,数学
842,14614,2,78,69,英语
843,14614,2,180,75,物理
844,14614,2,153,93,化学
845,14614,2,203,81,生物
846,14614,0,70,53,政治
847,14614,2,196,91,历史
848,14614,2,60,99,地理
849,14614,0,121,73,音乐
850,14614,0,78,51,美术
851,14614,0,190,90,体育
852,14615,3,224,50,语文
853,14615,3,70,70,数学
854,14615,2,75,70,英语
855,14615,2,119,78,物理
856,14615,2,146,98,化学
857,14615,2,197,54,生物
858,14615,0,87,62,政治
859,14615,2,197,61,历史
860,14615,2,113,95,地理
861,14615,0,221,73,音乐
862,14615,0,130,59,美术
863,14615,0,129,64,体育
864,14616,3,83,76,语文
865,14616,3,236,99,数学
866,14616,2,65,70,英语
867,14616,2,98,54,物理
868,14616,2,148,90,化学
869,14616,2,168,58,生物
870,14616,0,190,61,政治
871,14616,2,214,59,历史
872,14616,2,72,94,地理
873,14616,0,98,77,音乐
874,14616,0,210,67,美术
875,14616,0,89,54,体育
876,14617,3,185,60,语文
877,14617,3,186,94,数学
878,14617,2,238,99,英语
879,14617,2,192,69,物理
880,14617,2,168,72,化学
881,14617,2,237,83,生物
882,14617,0,192,87,政治
883,14617,2,192,71,历史
884,14617,2,70,69,地理
885,14617,0,126,93,音乐
886,14617,0,160,83,美术
887,14617,0,230,64,体育
888,14618,3,102,68,语文
889,14618,3,76,99,数学
890,14618,2,205,85,英语
891,14618,2,78,62,物理
892,14618,2,177,73,化学
893,14618,2,207,55,生物
894,14618,0,161,64,政治
895,14618,2,127,80,历史
896,14618,2,100,96,地理
897,14618,0,105,74,音乐
898,14618,0,84,93,美术
899,14618,0,98,87,体育
900,14619,3,60,80,语文
901,14619,3,122,50,数学
902,14619,2,219,83,英语
903,14619,2,133,57,物理
904,14619,2,102,88,化学
905,14619,2,107,67,生物
906,14619,0,161,62,政治
907,14619,2,84,53,历史
908,14619,2,125,63,地理
909,14619,0,114,52,音乐
910,14619,0,221,59,美术
911,14619,0,115,61,体育
912,14620,3,237,51,语文
913,14620,3,234,97,数学
914,14620,2,146,85,英语
915,14620,2,76,68,物理
916,14620,2,95,52,化学
917,14620,2,218,59,生物
918,14620,0,233,59,政治
919,14620,2,234,91,历史
920,14620,2,82,74,地理
921,14620,0,177,50,音乐
922,14620,0,63,95,美术
923,14620,0,83,69,体育
924,14621,3,122,86,语文
925,14621,3,173,79,数学
926,14621,2,197,83,英语
927,14621,2,62,87,物理
928,14621,2,185,59,化学
929,14621,2,227,85,生物
930,14621,0,199,97,政治
931,14621,2,125,77,历史
932,14621,2,118,89,地理
933,14621,0,203,56,音乐
934,14621,0,184,50,美术
935,14621,0,222,75,体育
936,14622,3,161,58,语文
937,14622,3,186,68,数学
938,14622,2,93,84,英语
939,14622,2,108,75,物理
940,14622,2,173,62,化学
941,14622,2,239,55,生物
942,14622,0,92,51,政治
943,14622,2,137,87,历史
944,14622,2,76,82,地理
945,14622,0,67,81,音乐
946,14622,0,207,97,美术
947,14622,0,131,70,体育
948,14623,3,86,71,语文
949,14623,3,138,63,数学
950,14623,2,171,72,英语
951,14623,2,83,86,物理
952,14623,2,186,56,化学
953,14623,2,136,76,生物
954,14623,0,212,78,政治
955,14623,2,175,58,历史
956,14623,2,181,71,地理
957,14623,0,114,71,音乐
958,14623,0,187,70,美术
959,14623,0,107,99,体育
960,14624,3,151,86,语文
961,14624,3,146,50,数学
962,14624,2,235,50,英语
963,14624,2,179,70,物理
964,14624,2,149,93,化学
965,14624,2,121,96,生物
966,14624,0,171,99,政治
967,14624,2,98,95,历史
968,14624,2,71,78,地理
969,14624,0,192,58,音乐
970,14624,0,89,93,美术
971,14624,0,91,76,体育
972,14625,3,192,58,语文
973,14625,3,168,90,数学
974,14625,2,153,76,英语
975,14625,2,164,73,物理
976,14625,2,224,80,化学
977,14625,2,207,92,生物
978,14625,0,82,76,政治
979,14625,2,82,57,历史
980,14625,2,92,77,地理
981,14625,0,155,94,音乐
982,14625,0,178,80,美术
983,14625,0,93,86,体育
984,14626,3,215,84,语文
985,14626,3,131,74,数学
986,14626,2,170,95,英语
987,14626,2,230,62,物理
988,14626,2,101,78,化学
989,14626,2,163,97,生物
990,14626,0,189,90,政治
